gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
64536536	82cb293c-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	Corvus corax		SPECIES	Corvus corax Linnaeus, 1758	Corvus corax		US	81503 Grand Junction	Colorado	PRESENT		95f1c5d0-8996-11d9-a962-b8a03c50a862	39.04754	-108.56005							2000-02-19	19	2	2000	2482492	2482492	OBSERVATION	CLO	GBBC	OBS16504052				CC0_1_0					2025-11-17T16:46:30.824Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
64536987	82cb293c-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	Corvus corax		SPECIES	Corvus corax Linnaeus, 1758	Corvus corax		US	92285 Landers	California	PRESENT		95f1c5d0-8996-11d9-a962-b8a03c50a862	34.295784	-116.423195							2000-02-20	20	2	2000	2482492	2482492	OBSERVATION	CLO	GBBC	OBS16644798				CC0_1_0					2025-11-17T16:46:30.824Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
64537265	82cb293c-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	Corvus corax		SPECIES	Corvus corax Linnaeus, 1758	Corvus corax		US	92128 San Diego	California	PRESENT		95f1c5d0-8996-11d9-a962-b8a03c50a862	33.001041	-117.068191							2000-02-20	20	2	2000	2482492	2482492	OBSERVATION	CLO	GBBC	OBS16729684				CC0_1_0					2025-11-17T16:46:30.824Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
64537427	82cb293c-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	Corvus corax		SPECIES	Corvus corax Linnaeus, 1758	Corvus corax		US	94122 San Francisco	California	PRESENT		95f1c5d0-8996-11d9-a962-b8a03c50a862	37.761524	-122.48094							1999-02-21	21	2	1999	2482492	2482492	OBSERVATION	CLO	GBBC	OBS16777286				CC0_1_0					2025-11-17T16:46:30.824Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
64537760	82cb293c-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	Corvus corax		SPECIES	Corvus corax Linnaeus, 1758	Corvus corax		US	93711 Fresno	California	PRESENT		95f1c5d0-8996-11d9-a962-b8a03c50a862	36.820847	-119.84362							1999-02-21	21	2	1999	2482492	2482492	OBSERVATION	CLO	GBBC	OBS16874595				CC0_1_0					2025-11-17T16:46:30.825Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
64537878	82cb293c-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	Corvus corax		SPECIES	Corvus corax Linnaeus, 1758	Corvus corax		US	81301 Durango	Colorado	PRESENT		95f1c5d0-8996-11d9-a962-b8a03c50a862	37.29229	-107.859962							1999-02-21	21	2	1999	2482492	2482492	OBSERVATION	CLO	GBBC	OBS16911937				CC0_1_0					2025-11-17T16:46:30.826Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
64537922	82cb293c-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	Corvus corax		SPECIES	Corvus corax Linnaeus, 1758	Corvus corax		CA	V0G 1Y0 Rossland	British Columbia	PRESENT		95f1c5d0-8996-11d9-a962-b8a03c50a862	49.10022	-117.80063							1999-02-22	22	2	1999	2482492	2482492	OBSERVATION	CLO	GBBC	OBS16926481				CC0_1_0					2025-11-17T16:46:30.826Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
64538156	82cb293c-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	Corvus corax		SPECIES	Corvus corax Linnaeus, 1758	Corvus corax		US	59870 Stevensville	Montana	PRESENT		95f1c5d0-8996-11d9-a962-b8a03c50a862	46.5256	-113.9684							1999-02-21	21	2	1999	2482492	2482492	OBSERVATION	CLO	GBBC	OBS16987823				CC0_1_0					2025-11-17T16:46:30.827Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
64538200	82cb293c-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	Corvus corax		SPECIES	Corvus corax Linnaeus, 1758	Corvus corax		US	81419 Hotchkiss	Colorado	PRESENT		95f1c5d0-8996-11d9-a962-b8a03c50a862	38.819004	-107.747215							1999-02-19	19	2	1999	2482492	2482492	OBSERVATION	CLO	GBBC	OBS16999758				CC0_1_0					2025-11-17T16:46:30.827Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
64538318	82cb293c-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	Corvus corax		SPECIES	Corvus corax Linnaeus, 1758	Corvus corax		US	86332 Kirkland	Arizona	PRESENT		95f1c5d0-8996-11d9-a962-b8a03c50a862	34.432934	-112.59992							1999-02-19	19	2	1999	2482492	2482492	OBSERVATION	CLO	GBBC	OBS17030379				CC0_1_0					2025-11-17T16:46:30.827Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
